7,29,105,28,1
55,335,652,436,1
208,25,48,57,1
91,43,119,57,1
37,111,49,32,1
130,46,39,35,1
240,44,178,2,1
35,139,36,85,1
55,84,173,135,1
206,125,452,64,1
210,79,30,67,1
50,64,20,24,1
215,182,7,2,1
68,196,28,57,1
3,99,211,203,1
217,54,12,8,1
26,252,267,19,1
393,4,247,28,1
129,337,15,325,1
167,43,113,26,1
479,490,53,295,1
173,660,32,26,1
6,153,53,20,1
49,43,41,43,1
163,159,63,14,1
39,160,264,40,1
164,132,1,93,1
48,202,116,38,1
70,38,40,27,1
155,13,87,20,1
309,3,65,15,1
551,4,25,145,1
190,22,9,12,1
81,84,122,6,1
191,153,73,49,1
4,13,5,12,0
9,22,1,1,0
8,4,4,18,0
19,9,2,8,0
4,1,8,4,0
170,11,11,47,1
17,265,396,7,1
11,130,121,19,1
192,74,170,44,1
30,31,18,11,1
39,29,121,24,1
60,24,14,243,1
34,2,27,131,1
49,17,23,186,1
60,72,21,138,1
45,104,24,254,1
26,195,148,41,1
12,44,20,161,1
1,117,26,0,1
22,41,12,474,1
23,31,22,17,1
13,33,2,17,1
166,37,158,20,1
8,76,33,14,1
54,41,17,9,1
350,61,177,137,1
132,38,16,7,1
5,84,62,22,1
70,16,32,16,1
198,1,138,102,1
34,3,27,30,1
10,175,15,30,1
43,10,36,110,1
9,16,161,204,1
16,54,3,18,1
66,152,132,30,1
94,47,10,154,1
1,30,83,107,1
31,7,2,18,1
95,2,82,100,1
0,23,29,106,1
32,46,15,56,1
8,23,184,115,1
9,36,243,291,1
6,4,8,4,0
5,19,3,41,0
1,4,5,1,0
8,2,4,1,0
6,1,3,2,0
30,18,15,42,1
7,197,117,32,1
43,79,46,54,1
87,33,105,7,1
83,8,87,31,1
34,80,17,9,1
59,36,18,85,1
149,239,25,40,1
48,42,38,27,1
37,49,22,49,1
15,63,25,53,1
129,13,112,22,1
14,11,51,3,1
37,49,38,17,1
170,1,3,54,1
35,62,38,19,1
29,54,131,7,1
60,53,8,141,1
17,52,120,29,1
59,88,23,40,1
8,96,27,110,1
81,3,60,41,1
12,12,69,96,1
19,72,38,50,1
43,120,40,55,1
5,4,25,36,1
75,40,138,5,1
80,28,2,63,1
3,2,2,0,0
10,2,4,10,0
3,2,3,2,0
5,3,0,2,0
3,2,4,5,0
8,19,58,22,1
49,106,91,8,1
71,4,1,13,1
68,4,13,74,1
15,4,2,10,1
31,7,4,15,1
100,9,8,9,1
25,20,48,40,1
40,38,37,5,1
38,15,250,264,1
2,10,6,1,1
35,19,17,6,1
30,12,6,85,1
24,21,4,1,1
5,1,3,6,0
1,1,5,2,0
4,4,3,4,0
0,12,4,8,0
0,1,6,7,0
129,34,31,21,1
24,34,228,47,1
62,29,132,130,1
9,129,14,109,1
4,66,24,105,1
71,30,143,29,1
23,60,25,70,1
25,44,17,123,1
21,51,14,56,1
5,135,14,10,1
36,177,27,164,1
153,40,3,157,1
84,16,70,45,1
5,52,35,114,1
36,101,28,89,1
48,15,64,19,1
25,27,9,158,1
40,66,35,21,1
36,34,60,14,1
9,76,96,22,1
10,39,20,70,1
18,72,31,107,1
51,32,54,33,1
11,105,15,48,1
32,6,48,48,1
102,23,36,19,1
4,23,47,18,1
6,77,9,61,1
31,106,2,91,1
18,93,10,124,1
42,37,43,28,1
2,110,18,56,1
58,55,41,62,1
